PLATFORM_NUMBER,FIRST SURFACING,LAST SURFACING,FORMAT_VERSION,PROJECT_NAME,PI_NAME,FLOAT_OWNER,PERATING_INSTITUTION,DEPLOYMENT_CRUISE_ID,DEPLOYMENT_PLATFORM,PLATFORM_MARKER,PLATFORM_TYPE,FLOAT_SERIAL_NO,CONTROLLER_BOARD_SERIAL_NO_PRIMARY,FIRMWARE_VERSION,CONTROLLER_BOARD_TYPE_PRIMARY,TRANS_SYSTEM,PTT,SENSORS,SENSORS_SERIAL,BATTERY_TYPE,CONFIG_PARAMETER_NAME,CONFIG_PARAMETER_NAME_VALUE
1900275,11-Oct-2003,15-Oct-2006,2.2,ARGO_SPAIN,Gregorio PARRILLA,,,,,,,,,,,ARGOS,40817,/ CTD_CNDC/ CTD_TEMP/ CTD_PRES/,na,na, 
1900276,02-Oct-2003,13-Jun-2005,2.2,ARGO_SPAIN,Gregorio PARRILLA,,,,,,,,,,,ARGOS,40818,/ CTD_CNDC/ CTD_TEMP/ CTD_PRES/,na,na, 
1900277,04-Oct-2003,24-Jun-2007,2.2,ARGO_SPAIN,Gregorio PARRILLA,,,,,,,,,,,ARGOS,40819,/ CTD_CNDC/ CTD_TEMP/ CTD_PRES/,na,na, 
1900278,29-Sep-2003,15-Mar-2010,2.2,ARGO_SPAIN,Gregorio PARRILLA,,,,,,,,,,,ARGOS,40820,/ CTD_CNDC/ CTD_TEMP/ CTD_PRES/,na,na, 
1900279,07-Oct-2003,25-Dec-2005,2.2,ARGO_SPAIN,Gregorio PARRILLA,,,,,,,,,,,ARGOS,40821,/ CTD_CNDC/ CTD_TEMP/ CTD_PRES/,na,na, 
1900377,06-May-2005,21-Jan-2008,3.1,ARGO_MEXICO,Ochoa DE LA TORRE,,,,,MARTEC,PROVOR,OIN-04-SP-S2-04,n/a,n/a,n/a,ARGOS,40824,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC,/ n/a/ n/a/ n/a,Lithium,[Mission01] CONFIG_CycleTime_hours:NaN/ CONFIG_ParkPressure_dbar:1000/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:3 [Mission02] CONFIG_CycleTime_hours:240/ CONFIG_ParkPressure_dbar:1000/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:1 
1900378,11-Dec-2005,31-Dec-2005,3.1,ARGO_CR,Daniel BALLESTERO,,,,,MARTEC,PROVOR,OIN-04-SP-S2-05,n/a,n/a,n/a,ARGOS,40825,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC,/ n/a/ n/a/ n/a,Lithium,[Mission01] CONFIG_CycleTime_hours:NaN/ CONFIG_ParkPressure_dbar:1000/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:3 [Mission02] CONFIG_CycleTime_hours:240/ CONFIG_ParkPressure_dbar:1000/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:1 
1900379,10-Dec-2005,09-Jan-2008,3.1,ARGO_CR,Daniel BALLESTERO,,,,,MARTEC,PROVOR,OIN-04-SP-S2-06,n/a,n/a,n/a,ARGOS,40826,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC,/ n/a/ n/a/ n/a,Lithium,[Mission01] CONFIG_CycleTime_hours:NaN/ CONFIG_ParkPressure_dbar:1000/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:3 [Mission02] CONFIG_CycleTime_hours:240/ CONFIG_ParkPressure_dbar:1000/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:1 
4900556,25-Mar-2005,04-Feb-2007,3.1,MFSTEP,Pierre-Marie Poulain,,,,RV Cornide de Saavedra,MARTEC,PROVOR,OIN-04-SP-S2-01,n/a,n/a,n/a,ARGOS,19789,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC,/ n/a/ n/a/ n/a,Lithium,[Mission01] CONFIG_CycleTime_hours:NaN/ CONFIG_ParkPressure_dbar:350/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:3 [Mission02] CONFIG_CycleTime_hours:120/ CONFIG_ParkPressure_dbar:350/ CONFIG_ProfilePressure_dbar:700/ CONFIG_Direction_NUMBER:1 [Mission03] CONFIG_CycleTime_hours:120/ CONFIG_ParkPressure_dbar:350/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:1 
4900557,14-Sep-2004,23-Mar-2007,3.1,ARGO_SPAIN,Pierre-Marie Poulain,,,,,MARTEC,PROVOR,OIN-04-SP-S2-002,n/a,n/a,n/a,ARGOS,19845,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC,/ n/a/ n/a/ n/a,Lithium,[Mission01] CONFIG_CycleTime_hours:NaN/ CONFIG_ParkPressure_dbar:1500/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:3 [Mission02] CONFIG_CycleTime_hours:240/ CONFIG_ParkPressure_dbar:1500/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:1 
4900558,12-Sep-2004,31-Dec-2006,3.1,ARGO_SPAIN,Pierre-Marie Poulain,,,,,MARTEC,PROVOR,OIN-04-SP-S2-001,n/a,n/a,n/a,ARGOS,19844,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC,/ n/a/ n/a/ n/a,Lithium,[Mission01] CONFIG_CycleTime_hours:NaN/ CONFIG_ParkPressure_dbar:1500/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:3 [Mission02] CONFIG_CycleTime_hours:240/ CONFIG_ParkPressure_dbar:1500/ CONFIG_ProfilePressure_dbar:2000/ CONFIG_Direction_NUMBER:1 
6900230,23-Sep-2003,12-Sep-2005,2.2,ARGO_SPAIN,Gregorio PARRILLA,,,,,,,,,,,ARGOS,40823,/ CTD_CNDC/ CTD_TEMP/ CTD_PRES/,na,na, 
6900231,28-Dec-2003,07-Nov-2005,2.2,ARGO_SPAIN,Gregorio PARRILLA,,,,,,,,,,,ARGOS,40822,/ CTD_CNDC/ CTD_TEMP/ CTD_PRES/,na,na, 
6900506,24-Sep-2006,17-Dec-2011,2.2,ARGO_SPAIN,Gregorio PARRILLA,,,,,webbresearch,,,,,,ARGOS,64810,/ CTD_CNDC/ CTD_TEMP/ CTD_PRES,na,na, 
6900635,14-Nov-2011,27-Feb-2012,2.2,ARGO SPAIN,Jordi FONT,,,,,TELEDYNE Webb Research,,,,,,ARGOS,79757,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC/,na,na, 
6900636,02-Aug-2012,10-Oct-2017,2.2,ARGO SPAIN,Jordi FONT,,,,,TELEDYNE Webb Research,,,,,,ARGOS,79758,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC/,na,na, 
6900659,17-Jan-2011,20-Jul-2015,2.2,ARGO SPAIN,Pascual ANANDA,,,,,TELEDYNE Webb Research,,,,,,ARGOS,83877,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC/,na,na, 
6900660,13-Sep-2011,15-May-2013,2.2,ARGO SPAIN,Pascual ANANDA,,,,,TELEDYNE Webb Research,,,,,,ARGOS,83878,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC/,/ 9999/ 9999/ 9999/,na, 
6900661,28-Jun-2011,13-May-2012,2.2,ARGO SPAIN,Pascual ANANDA,,,,,TELEDYNE Webb Research,,,,,,ARGOS,83879,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC/,na,na, 
6900662,15-Jun-2012,01-Jan-2016,2.2,ARGO SPAIN,Pedro Joaquin VELEZ BELCHI,,,,,TELEDYNE Webb Research,,,,,,ARGOS,83966,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC/,/ 3943/ 3943/ 3943/,na, 
6900760,06-Sep-2010,03-May-2013,3.1,ARGO_SPAIN,Pedro Joaquin VELEZ BELCHI,,,RADPROF,CORNIDE DE SAAVEDRA,TWR,APEX,4407,6331,071807,APF9A,ARGOS,88339,/ CTD_PRES/ CTD_TEMP/ CTD_CNDC/ IDO_DOXY,/ n/a/ n/a/ n/a/ 447,Alkaline,[Mission01] CONFIG_CycleTime_hours:26.8889/ CONFIG_ParkPressure_dbar:1000/ CONFIG_ProfilePressure_dbar:2000 [Mission02] CONFIG_CycleTime_hours:240/ CONFIG_ParkPressure_dbar:1000/ CONFIG_ProfilePressure_dbar:2000 
